Tweet ID,Time of Tweet,User ID,Text
1589044880118255616,2022-11-05 23:59:57+00:00,737356489829023744,"RT @Vivek4real_: Reminder:
#Bitcoin  is leaderless with no roadmaps.

It’s a feature, not a bug. https://t.co/xk7QbQJZmo"
1589044870957920256,2022-11-05 23:59:54+00:00,1560596483011153920,「なんて贈り物だ。神様助けて」#Bitcoin  -          #Ethereum #BNB #ETH #DOT #MANA #SHIB #XRP #DOGE #BABYDOGE #ADA #SOL #FTM #MATIC #HERO #SAND #WHEX #SFM #AVAX #BTC #LOOKS #LUNC #CINU #LUNA 1NMRzJj4qyDoDi7G4nPMph24ZTMUvNi6bT https://t.co/y3bJcyntVJ
1589044869980647424,2022-11-05 23:59:54+00:00,746192421566853120,"RT @fermathdiyorkii: That’s a right decision you've made I’d say. We may see 2x or 3x in #Bitcoin  ; But $CATE $catpay  ,even 1000x is poss…"
1589044863659646978,2022-11-05 23:59:53+00:00,1563826204238643201,Just an honest question of how this bond sale will effect #Bitcoin. I'd consider a 500M-2.5B buy in with low exchange reserves could create a short squeeze. But want a second opinion. Thank you!
1589044857007489027,2022-11-05 23:59:51+00:00,94908371,"#Crypto Whale Transfer Alert: 374 #BTC [$8,006,948] were transferred from #BINANCE to unknown address [1GCxtiHS572uhb3fvkdnVXmNoDY68uAHeH] 🚀🚀🚀.

For more details: https://t.co/azMVhmHQ7G

 #crypto #Bitcoin #ETH #HODL #Ethereum"
1589044854960816128,2022-11-05 23:59:51+00:00,1443768281916063745,@APompliano @elonmusk #bitcoin needs $icp for this reason.
1589044842017214466,2022-11-05 23:59:48+00:00,1107202993235984384,"#QTUMUSDT 4H Chart

#BTC $btc #bitcoin #btcusdt #eth $eth #etherium #Ethereum #cryptocurrecy #cryptocurrency #CryptocurrencyNews #CryptoNews #bnb #binance #binancecoin #bnbusdt #litecoin #dogecoin #doge #ripple #Bullish #BullMarket #bear #bearmarket https://t.co/oCs0BwG9rG"
1589044838837915649,2022-11-05 23:59:47+00:00,1584907541615616002,I want to work #tradingI have trained and have a lot of knowledge about #cryptocurrencies But I don't have money to be able to start in Trading.Might you help me? Please#btc #Bitcoin 1HQost4n4uRgnb6seEytDYQJnLWyBiH2ou
1589044834412933121,2022-11-05 23:59:46+00:00,1527745810598924288,"RT @saylor: Remember, remember, the 5th of November.🌹  #Bitcoin https://t.co/TtJ0ZKbq8K"
1589044832122851329,2022-11-05 23:59:45+00:00,1589043953999155204,"RT @Jamyies: Hey Gurus! Giving away $1,000 USD worth of #Bitcoin to 1 lucky follower🎁

To enter just👇

✅Follow me @jamyies
✅Retweet
✅Tag 3…"
1589044821955850240,2022-11-05 23:59:43+00:00,1584846006818148354,😂😂Isn't this true?#Airdrop #Airdrops #bitcoin #inflation
1589044819405733888,2022-11-05 23:59:42+00:00,167849280,"RT @saylor: Remember, remember, the 5th of November.🌹  #Bitcoin https://t.co/TtJ0ZKbq8K"
1589044816570388480,2022-11-05 23:59:41+00:00,1492222439102767106,"15 more sold!

#NFTsCommunity
#NFTs
#NFTGiveaway #NFTshill #NFTcollections #Bitcoin #ETH #BNB #PolygonNetwork https://t.co/iFJdmMknQQ"
1589044815521796096,2022-11-05 23:59:41+00:00,227399981,"RT @saylor: Remember, remember, the 5th of November.🌹  #Bitcoin https://t.co/TtJ0ZKbq8K"
1589044809792356352,2022-11-05 23:59:40+00:00,1586431018579394561,"I think as of now El Salvador is losing about 15% on the #Bitcoin Bukele purchased. Six months from now those losses will likely be much greater, especially if he keeps buying the dips."
1589044805145071616,2022-11-05 23:59:39+00:00,1585102786278178818,Will it be a #bitcoin death cross ?!
1589044803471552512,2022-11-05 23:59:38+00:00,1479583240029679616,"RT @antoasb: El fracaso del #Bitcoin en #ElSalvador. 

Un fracaso que ha costado, al menos, $300 millones de dinero público. ¿Cuantas obras…"
1589044796995555328,2022-11-05 23:59:37+00:00,1347927540988571649,"The $BTC price is at $21,300.51 right now.
🟢 Compared to the last tweet, the price has increased by $11.53 (0.05%).
🟢 In the last 24 hours the price has increased by $154.99 (0.73%).

#Bitcoin #BTC https://t.co/2fXPXWgae0"
1589044795657297921,2022-11-05 23:59:36+00:00,1119277376108683264,"💵4,156 #BTC (87,930,880 USD) move from unknown wallet to unknown wallet
 
Date : 2022-11-05 23:58:01 (GMT 0)
Blockchain : #BITCOIN
Symbol : #BTC
 
Detail: https://t.co/MXtj4fP0kz"
1589044792809476101,2022-11-05 23:59:36+00:00,1119277376108683264,"💵3,953 #BTC (83,619,496 USD) move from unknown wallet to unknown wallet
 
Date : 2022-11-05 23:58:01 (GMT 0)
Blockchain : #BITCOIN
Symbol : #BTC
 
Detail: https://t.co/OVlaFcaz0i"
1589044773570187265,2022-11-05 23:59:31+00:00,1527809135374393345,"#Bitcoin mempool fees summary in the 60 seconds
Mean = 4550
Median = 2433
Max = 120000
75th Quant = 4055
N.Obs = 174
Interval (fee/vb) = [0 , 34.0]
Block height 761901"
1589044772286742528,2022-11-05 23:59:31+00:00,1527809135374393345,"#Bitcoin mempool Tx summary in the last 60 seconds
Mean = 0.99988
Median = 0.01982
Max = 21.45048
75th Quant = 0.36981
N.Obs = 174.0
Block height 761901"
1589044771720376321,2022-11-05 23:59:31+00:00,563941822,"RT @DocumentingBTC: Twitter can become the world's best payments app by adopting #bitcoin 

(@jackmallers &amp; @elonmusk)

https://t.co/tEUJaj…"
1589044771544502272,2022-11-05 23:59:31+00:00,1584878131885785095,"BREAKING - #JPMorgan: Our long-term price target for #Bitcoin  is $150,000"
1589044763273342978,2022-11-05 23:59:29+00:00,1589040653639770112,"RT @BitcoinMagazine: For the first time in history, #Bitcoin is less volatile than the S&amp;P 500 and Nasdaq - Ark Invest"
1589044760291209216,2022-11-05 23:59:28+00:00,1107202993235984384,"#DASHUSDT 2H Chart

#BTC $btc #bitcoin #btcusdt #eth $eth #etherium #Ethereum #cryptocurrecy #cryptocurrency #CryptocurrencyNews #CryptoNews #bnb #binance #binancecoin #bnbusdt #litecoin #dogecoin #doge #ripple #Bullish #BullMarket #bear #bearmarket https://t.co/pA2XxzwHhR"
1589044758714126336,2022-11-05 23:59:28+00:00,436283676,RT @spiralbtc: Banks need your money. Your money doesn’t need a bank. #Bitcoin
1589044754720821250,2022-11-05 23:59:27+00:00,1584880923987918848,What title should I give to this NFT Design?  What's Your thought's on this design?  #nfts #nft #nftart #nftartist #nftcollector #cryptoart #digitalart #nftcommunity #art #crypto #ethereum #blockchain #cryptocurrency #cryptoartist #opensea #nftcollectors #bitcoin
1589044747360178176,2022-11-05 23:59:25+00:00,737356489829023744,"RT @21JCLP: You don't need a blue check ❌

You need bitcoin laser eyes 💥⚡️💥

#Bitcoin 24/7 https://t.co/ZlGKMoZEoN"
1589044746613182464,2022-11-05 23:59:25+00:00,1351323168934342656,"RT @saylor: Remember, remember, the 5th of November.🌹  #Bitcoin https://t.co/TtJ0ZKbq8K"
1589044743971180544,2022-11-05 23:59:24+00:00,1148664081425018880,"https://t.co/V6ZDhbzDu0 #nfts #bitcoin Украине Киев nato erdogan нато мариуполь kherson turkiet himars kent

#UkraineWar #UkraineRussiaWar #ArmUkraineNow #UkraineUnderAttack #RussiaIsATerroristState ukraine ukrainian

nazis вс рф moscow russia putins пригожин-ТЕРРОРИСТЫ САДИСТЫ"
1589044727390814210,2022-11-05 23:59:20+00:00,1334622867586248704,Global Automotive Metaverse Market to Have a CAGR of 31.4% by 2030 – Research #Bitcoin #News https://t.co/1gEXVZFfwP #blockchainnews
1589044713629569024,2022-11-05 23:59:17+00:00,753751645293416448,"RT @QuaiNetwork: 14 years ago today, Satoshi Nakamoto published the 
#Bitcoin white paper.

Quai Network builds upon the foundational techn…"
1589044713176301568,2022-11-05 23:59:17+00:00,997855218011463680,4 hour top movers report #blockchain #crypto #cryptocurrency #kripto #kriptopara #trading #rixx #binance #bnb #bitcoin #btc #ethereum #eth https://t.co/YXYpZZRuJC
1589044704389529600,2022-11-05 23:59:15+00:00,1584875244476579840,For #bitcoin not to sell off further price needs to not close a monthly candle below 29k$ …. Closing a monthly candle below that will very bad for #bitcoin
1589044695942172672,2022-11-05 23:59:13+00:00,3606628213,"出来るだけ人に優しくしろ #fx,#bitcoin"
1589044692808867841,2022-11-05 23:59:12+00:00,1564642667690172416,The #Bitcoin network can never and will never be stopped.#BTC #cryptocurrency #Crypto #ThePeoplesNetwork
1589044687595536384,2022-11-05 23:59:11+00:00,1366212073714163715,"RT @saylor: Remember, remember, the 5th of November.🌹  #Bitcoin https://t.co/TtJ0ZKbq8K"
1589044682474020867,2022-11-05 23:59:09+00:00,2385231404,"カジノと5BTCボーナス クリック
==&gt; https://t.co/V89UwS5i8N #euro2020 #uefa #btc #Japan #crypto #cryptocurrency #bitcoin #bonus #bet #betting #soccer #basketball #tennis #live #Sunday #仮想通貨 #ビットコイン #カジノ #ギャンブル #暗号通貨 https://t.co/DHSHWih9Yv"
1589044677164113921,2022-11-05 23:59:08+00:00,1484547220326293506,"📈Analysis November 05th📈

The current price of #Bitcoin is 21299.43$ (⬆0.73%), and its dominance is 33.27%. 

The market sentiment is at 38 points [🔴Fear]. 

Total crypto market cap is 💰1.22 billion $💰 approx. https://t.co/xJkiOEjC7S"
1589044673955483648,2022-11-05 23:59:07+00:00,1501922448324927500,"#Bitcoin Last Price $21288 #BTC 🚀
Weekly Indicators:
•Variation since Monday 00h00(UTC): +3.2%
•MACD:
 -MACD Line: -3347
 -Signal Line: -4157

#Ethereum Last Price $1628 #ETH
•Variation: +2.36%
•MACD:
 -MACD Line: -209
 -Signal Line: -276

#Blockchain #Web3
(5/6)
322114"
1589044655756546049,2022-11-05 23:59:03+00:00,1410439838986166273,"🟩 Block 761901 ⛏ ⛏

📅 5th Nov 2022, 23:58:30 GMT

📣 1,133 tx with a value of 206.465 ₿ ($4.40m 🇺🇸)

📣 distributed to 1,973 recipients 💎🙌

📣 19,199,387.50 ₿ (91.42565%) mined ⛏

📣 1,800,612.50 ₿ remaining 💰

#bitcoin #tictoknextblock"
1589044655278415875,2022-11-05 23:59:03+00:00,1573897362317398016,"This zesty faucet from @_bitcoiner is making me tweet this to claim my free Lightning sats. ⚡

@boltcoiner unlock me 64343f8a-4dc3-4428-b8d0-75c9af00cdba

#Bitcoin #BTC #LN #LightningNetwork #boltcoiner
https://t.co/Hje99QnCM0"
1589044647111798784,2022-11-05 23:59:01+00:00,1033680740695912449,RT @MemeingBitcoin: Apple Pay vs. Google Pay. vs. #Bitcoin https://t.co/S2QxcWls3d
1589044642565193729,2022-11-05 23:59:00+00:00,1346631714601316356,"Candle of day 05/11/2022 closed.

Open: $ 21,152.07
High: $ 21,464.26
Low: $ 21,102.84
Close: $ 21,285.05

Change: +0.62%

#Bitcoin #Candle #BullMarket"
1589044641655144451,2022-11-05 23:59:00+00:00,1463349941686837252,"As the Asian trading session begins, the global #cryptocurrency market cap is 📈up 0.13% in the last 24 hours. However, 53 of the top 100 coins' prices are down.
-#Bitcoin $21,281 +0.63%,
-#Ethereum $1,626.80 -1.07%
https://t.co/0Lv6EqhZJ9"
1589044639314903040,2022-11-05 23:58:59+00:00,1585992167398457345,THE #BITCOIN EXECUTIVE ORDER from the WhiteHouse to individual and institutions. Together we can strengthen our ecosystem.
1589044632821780480,2022-11-05 23:58:58+00:00,1539539322940100608,"RT @DocumentingBTC: Twitter can become the world's best payments app by adopting #bitcoin 

(@jackmallers &amp; @elonmusk)

https://t.co/tEUJaj…"
1589044623044927490,2022-11-05 23:58:55+00:00,1448763322812276737,"👋 A new block was found on the #Bitcoin network. We're at block height 761901, current #bitcoin price is $21291.37 and there are 180058747690011 #sats left to mine."
1589044612991049728,2022-11-05 23:58:53+00:00,1586827147791982593,Boğa en erken 2023 son çeyrekte gelir. 🐂💨 #Crypto #Bitcoin #NFT
1589044611489488897,2022-11-05 23:58:53+00:00,1107202993235984384,"#EOSUSDT 6H Chart

#BTC $btc #bitcoin #btcusdt #eth $eth #etherium #Ethereum #cryptocurrecy #cryptocurrency #CryptocurrencyNews #CryptoNews #bnb #binance #binancecoin #bnbusdt #litecoin #dogecoin #doge #ripple #Bullish #BullMarket #bear #bearmarket https://t.co/i7REAagnCj"
1589044608079577088,2022-11-05 23:58:52+00:00,1068535594781937664,"RT @saylor: Remember, remember, the 5th of November.🌹  #Bitcoin https://t.co/TtJ0ZKbq8K"
1589044603025772544,2022-11-05 23:58:51+00:00,1536175386190524416,"RT @himalayaxchange: Here is my trading strategy recently 👉 #HODL 🫡

#himalayaexchange #bitcoin #ethereum #trading https://t.co/5yM15Sznjp"
1589044597673512960,2022-11-05 23:58:49+00:00,1456568726,"#bitcoin Block #761900 : 1407384 bytes, 3064 transactions, 6.38398323BTC($135,910) reward
            
For more information, visit https://t.co/fVhGp0SNP3"
1589044587544612864,2022-11-05 23:58:47+00:00,767289641292574720,"RT @DocumentingBTC: No bank account? No internet? No problem. 

Merchants at a market in Lilongwe, Malawi using #bitcoin

https://t.co/N4ol…"
1589044576807186432,2022-11-05 23:58:44+00:00,1451891400421871619,"Join our facebook group to see the best new NFT Projets! https://t.co/DsvzWFY5Ix 
#nft #nftartist #nftcommunity #nftcollectors #nftdrop #nftcollectibles #nftartwork #nftartgallery #nftcollection #cryptocurrency #solana #eth #ethereum #btc #bitcoin #btcusd #crypto #cryptoart https://t.co/HheayPEW0Z"
1589044570876444672,2022-11-05 23:58:43+00:00,57154062,"RT @Techconcatalina: 📱⚡️Comerciantes en un Mercado de Lilongwe, Malawi usando #Bitcoin 👏🏻

Sin Internet o Cuenta Bancaría? No hay problema.…"
1589044567654924290,2022-11-05 23:58:42+00:00,1564944940605521922,#Bitcoin Who got trapped ?! Check yesterday's tweet and today's #chart
1589044565990076417,2022-11-05 23:58:42+00:00,874466356220968961,RT @BitcoinMagazine: #Bitcoin is winning. https://t.co/OppNcbuJdv
1589044554270998530,2022-11-05 23:58:39+00:00,1545146560773767173,Approximately every 10 minutes a new block is generated and added to the #Bitcoin timechain. The latest is at block height 761900.
1589044552157237249,2022-11-05 23:58:38+00:00,1442823073191784459,"@nova_token @_Reiyuu_ @Konodath @Ivyclover1 

0x19745F6d7A0EC2585c9A00245DA657a9895A9f27

#Airdrop #Airdrops #BNB       #blockchain #ETH #Bitcoin"
1589044551872057345,2022-11-05 23:58:38+00:00,1586401150961590273,"I see #Bitcoin slowly becoming a substitute currency for banks.Playing same role as gold did in the early days. Replacing the fiat https://t.co/ufiUWxbomK should Followhe knows his stuff when it comes to $BTC and other Cryptos, his tweet has been of help to me in the space."
1589044550886379520,2022-11-05 23:58:38+00:00,1551067188882116608,"#Ethereum price update: 

#ETH $1628.41 USD
#Bitcoin 0.07649998285290945 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto"
1589044544620101634,2022-11-05 23:58:37+00:00,1564163810965045249,"It started on El Salvador’s Bitcoin Beach where the #CozyCryptoCats were livin’ the good life in peace…

#NFTGiveaway #NFTs #NFT #NFTCommunity  #BTC #Etherium #ETH #Bitcoin  #NFTGiveaways https://t.co/MNfCgQbB2d"
1589044536130637824,2022-11-05 23:58:35+00:00,1496984533631381505,"Bitcoin Average RSI is 57 ~ Neutral
Current Price: $21,292

#Bitcoin #BTC #RsiBitcoin $BTC https://t.co/ice1ehLamE"
1589044529784496129,2022-11-05 23:58:33+00:00,66811784,"RT @saylor: Remember, remember, the 5th of November.🌹  #Bitcoin https://t.co/TtJ0ZKbq8K"
1589044522428010496,2022-11-05 23:58:31+00:00,1356535065010921472,"RT @el_crypto_prof: #Bitcoin 

Update and quick reminder that this chart has been on track for MONTHS now.

Shared this chart the first tim…"
1589044519613632512,2022-11-05 23:58:31+00:00,1585111454860050440,"So it's NOT a good Store of Value, and other coins have lower monetary inflation.  So since it begins and ends there, I return to my original point:  #Bitcoin $BTCis absolutely useless"
